Sentence	Label
Alonzo feels angry.	0
Alonzo feels furious.	0
Alonzo feels irritated.	0
Alonzo feels enraged.	0
Alonzo feels annoyed.	0
Alonzo feels sad.	0
Alonzo feels depressed.	0
Alonzo feels devastated.	0
Alonzo feels miserable.	0
Alonzo feels disappointed.	0
Alonzo feels terrified.	0
Alonzo feels discouraged.	0
Alonzo feels scared.	0
Alonzo feels anxious.	0
Alonzo feels 0ful.	0
Alonzo feels happy.	1
Alonzo feels ecstatic.	1
Alonzo feels glad.	1
Alonzo feels relieved.	1
Alonzo feels excited.	1
Jamel feels angry.	0
Jamel feels furious.	0
Jamel feels irritated.	0
Jamel feels enraged.	0
Jamel feels annoyed.	0
Jamel feels sad.	0
Jamel feels depressed.	0
Jamel feels devastated.	0
Jamel feels miserable.	0
Jamel feels disappointed.	0
Jamel feels terrified.	0
Jamel feels discouraged.	0
Jamel feels scared.	0
Jamel feels anxious.	0
Jamel feels 0ful.	0
Jamel feels happy.	1
Jamel feels ecstatic.	1
Jamel feels glad.	1
Jamel feels relieved.	1
Jamel feels excited.	1
Alphonse feels angry.	0
Alphonse feels furious.	0
Alphonse feels irritated.	0
Alphonse feels enraged.	0
Alphonse feels annoyed.	0
Alphonse feels sad.	0
Alphonse feels depressed.	0
Alphonse feels devastated.	0
Alphonse feels miserable.	0
Alphonse feels disappointed.	0
Alphonse feels terrified.	0
Alphonse feels discouraged.	0
Alphonse feels scared.	0
Alphonse feels anxious.	0
Alphonse feels 0ful.	0
Alphonse feels happy.	1
Alphonse feels ecstatic.	1
Alphonse feels glad.	1
Alphonse feels relieved.	1
Alphonse feels excited.	1
Jerome feels angry.	0
Jerome feels furious.	0
Jerome feels irritated.	0
Jerome feels enraged.	0
Jerome feels annoyed.	0
Jerome feels sad.	0
Jerome feels depressed.	0
Jerome feels devastated.	0
Jerome feels miserable.	0
Jerome feels disappointed.	0
Jerome feels terrified.	0
Jerome feels discouraged.	0
Jerome feels scared.	0
Jerome feels anxious.	0
Jerome feels 0ful.	0
Jerome feels happy.	1
Jerome feels ecstatic.	1
Jerome feels glad.	1
Jerome feels relieved.	1
Jerome feels excited.	1
Leroy feels angry.	0
Leroy feels furious.	0
Leroy feels irritated.	0
Leroy feels enraged.	0
Leroy feels annoyed.	0
Leroy feels sad.	0
Leroy feels depressed.	0
Leroy feels devastated.	0
Leroy feels miserable.	0
Leroy feels disappointed.	0
Leroy feels terrified.	0
Leroy feels discouraged.	0
Leroy feels scared.	0
Leroy feels anxious.	0
Leroy feels 0ful.	0
Leroy feels happy.	1
Leroy feels ecstatic.	1
Leroy feels glad.	1
Leroy feels relieved.	1
Leroy feels excited.	1
Torrance feels angry.	0
Torrance feels furious.	0
Torrance feels irritated.	0
Torrance feels enraged.	0
Torrance feels annoyed.	0
Torrance feels sad.	0
Torrance feels depressed.	0
Torrance feels devastated.	0
Torrance feels miserable.	0
Torrance feels disappointed.	0
Torrance feels terrified.	0
Torrance feels discouraged.	0
Torrance feels scared.	0
Torrance feels anxious.	0
Torrance feels 0ful.	0
Torrance feels happy.	1
Torrance feels ecstatic.	1
Torrance feels glad.	1
Torrance feels relieved.	1
Torrance feels excited.	1
Darnell feels angry.	0
Darnell feels furious.	0
Darnell feels irritated.	0
Darnell feels enraged.	0
Darnell feels annoyed.	0
Darnell feels sad.	0
Darnell feels depressed.	0
Darnell feels devastated.	0
Darnell feels miserable.	0
Darnell feels disappointed.	0
Darnell feels terrified.	0
Darnell feels discouraged.	0
Darnell feels scared.	0
Darnell feels anxious.	0
Darnell feels 0ful.	0
Darnell feels happy.	1
Darnell feels ecstatic.	1
Darnell feels glad.	1
Darnell feels relieved.	1
Darnell feels excited.	1
Lamar feels angry.	0
Lamar feels furious.	0
Lamar feels irritated.	0
Lamar feels enraged.	0
Lamar feels annoyed.	0
Lamar feels sad.	0
Lamar feels depressed.	0
Lamar feels devastated.	0
Lamar feels miserable.	0
Lamar feels disappointed.	0
Lamar feels terrified.	0
Lamar feels discouraged.	0
Lamar feels scared.	0
Lamar feels anxious.	0
Lamar feels 0ful.	0
Lamar feels happy.	1
Lamar feels ecstatic.	1
Lamar feels glad.	1
Lamar feels relieved.	1
Lamar feels excited.	1
Malik feels angry.	0
Malik feels furious.	0
Malik feels irritated.	0
Malik feels enraged.	0
Malik feels annoyed.	0
Malik feels sad.	0
Malik feels depressed.	0
Malik feels devastated.	0
Malik feels miserable.	0
Malik feels disappointed.	0
Malik feels terrified.	0
Malik feels discouraged.	0
Malik feels scared.	0
Malik feels anxious.	0
Malik feels 0ful.	0
Malik feels happy.	1
Malik feels ecstatic.	1
Malik feels glad.	1
Malik feels relieved.	1
